EDA_1646665728.000000,EDA_id,TEMP_1646665728.000000,BVP_1646665728.00,HR_1646665738.000000
0.135813,S31,32.41,-28.42,77.27
0.134532,S31,32.41,-7.9,77.2
0.135813,S31,32.41,11.96,77.15
0.135813,S31,32.41,29.55,77.02
0.135813,S31,32.41,44.12,76.9
0.134532,S31,32.41,55.74,76.77
0.134532,S31,32.41,64.86,76.63
0.135813,S31,32.41,71.98,76.6
0.134532,S31,32.43,77.41,76.55
0.134532,S31,32.43,81.26,76.5
0.134532,S31,32.43,83.55,76.47
0.135813,S31,32.43,84.4,76.43
0.134532,S31,32.45,84.07,76.53
0.134532,S31,32.45,82.85,76.65
0.135813,S31,32.45,81.03,76.77
0.13325,S31,32.45,78.75,76.88
0.134532,S31,32.45,76.06,77.0
0.13325,S31,32.45,73.04,77.07
0.134532,S31,32.45,69.79,77.12
0.134532,S31,32.45,66.51,77.17
0.134532,S31,32.41,63.44,77.2
0.134532,S31,32.41,60.72,77.23
0.13325,S31,32.41,58.4,77.25
0.134532,S31,32.41,56.37,77.25
0.134532,S31,32.43,54.47,77.25
0.135813,S31,32.43,52.42,77.27
0.134532,S31,32.43,49.97,77.3
0.142219,S31,32.43,46.88,77.33
0.142219,S31,32.45,42.98,77.35
0.142219,S31,32.45,38.21,77.37
0.144782,S31,32.45,32.64,77.37
0.144782,S31,32.45,26.49,77.37
0.138375,S31,32.45,20.05,77.37
0.134532,S31,32.45,13.68,77.37
0.135813,S31,32.45,7.7,77.35
0.135813,S31,32.45,2.35,77.3
0.135813,S31,32.45,-2.27,77.25
0.134532,S31,32.45,-6.3,77.22
0.135813,S31,32.45,-10.01,77.17
0.13325,S31,32.45,-13.79,77.13
0.135813,S31,32.43,-18.1,77.1
0.135813,S31,32.43,-23.27,77.05
0.135813,S31,32.43,-29.54,77.0
0.135813,S31,32.43,-36.94,76.95
0.135813,S31,32.43,-45.09,76.9
0.135813,S31,32.43,-53.21,76.83
0.135813,S31,32.43,-60.03,76.82
0.135813,S31,32.43,-64.07,76.78
0.134532,S31,32.45,-63.94,76.73
0.134532,S31,32.45,-58.76,76.67
0.135813,S31,32.45,-48.51,76.57
0.137094,S31,32.45,-34.07,76.43
0.137094,S31,32.43,-17.05,76.28
0.134532,S31,32.43,0.69,76.17
0.135813,S31,32.43,17.33,76.05
0.134532,S31,32.43,31.54,75.97
0.135813,S31,32.45,42.53,75.88
0.134532,S31,32.45,50.09,75.83
0.137094,S31,32.45,54.42,75.8
0.138375,S31,32.45,55.97,75.78
0.135813,S31,32.45,55.32,75.78
0.135813,S31,32.45,53.01,75.8
0.135813,S31,32.45,49.67,75.82
0.135813,S31,32.45,45.94,75.85
0.135813,S31,32.43,42.48,75.88
0.137094,S31,32.43,39.78,75.93
0.138375,S31,32.43,38.11,76.0
0.139657,S31,32.43,37.33,76.03
0.138375,S31,32.43,36.96,76.02
0.140938,S31,32.43,36.39,76.0
0.140938,S31,32.43,35.1,75.98
0.138375,S31,32.43,32.89,75.93
0.137094,S31,32.43,29.85,75.87
